Fecha,Muestreo,Hoja,x,y
17/9/2021,M20,5,-83.877796,9.265416
29/10/2020,M12,48,-83.877797,9.263617
4/8/2020,M1,2,-83.8778,9.26544
11/8/2020,M4,69,-83.8778,9.265425
12/9/2020,M7,61,-83.877801,9.263571
26/1/2021,M16,49,-83.877801,9.26367
15/3/2021,M17,27,-83.877801,9.265455
11/8/2020,M4,34,-83.877808,9.264
29/10/2020,M12,68,-83.877808,9.265365
4/8/2020,M1,39,-83.87781,9.264985
22/9/2020,M11,35,-83.87781,9.263656
14/9/2020,M8,18,-83.877811,9.265479
16/9/2020,M9,68,-83.877811,9.265196
22/9/2020,M11,33,-83.877813,9.264122
7/8/2020,M2,42,-83.877814,9.263658
10/8/2020,M3,52,-83.877814,9.265456
8/9/2020,M6,51,-83.877814,9.264062
22/9/2020,M11,30,-83.877814,9.26407
2/12/2020,M14 ,55,-83.877814,9.265458
18/3/2021,M18,54,-83.877814,9.265498
7/8/2020,M2,24,-83.877817,9.263572
19/9/2020,M10,81,-83.877818,9.263453
8/8/2020,M2,113,-83.877819,9.265249
4/8/2020,M1,3,-83.877822,9.265515
22/9/2020,M11,34,-83.877822,9.263627
7/9/2020,M5,34,-83.877824,9.263473
4/8/2020,M1,100,-83.877826,9.263656
10/8/2020,M3,59,-83.877826,9.26354
2/12/2020,M14 ,63,-83.877827,9.264967
17/9/2021,M20,35,-83.877828,9.263645
7/8/2020,M2,21,-83.877829,9.26396
16/9/2020,M9,31,-83.87783,9.26417
2/12/2020,M14 ,54,-83.87783,9.265522
17/9/2021,M20,4,-83.87783,9.265426
15/3/2021,M17,28,-83.877832,9.265547
10/8/2020,M3,36,-83.877833,9.263581
29/10/2020,M12,51,-83.877833,9.263581
1/12/2020,M14 ,42,-83.877833,9.26411
14/9/2020,M8,43,-83.877837,9.264153
29/10/2020,M12,71,-83.877837,9.265024
17/9/2021,M20,3,-83.877838,9.265433
29/10/2020,M12,67,-83.877839,9.265425
7/8/2020,M2,40,-83.87784,9.264133
17/9/2021,M20,38,-83.877843,9.263581
11/8/2020,M4,72,-83.877844,9.264947
4/12/2020,M15,47,-83.877845,9.265452
11/8/2020,M4,62,-83.877846,9.265629
7/9/2020,M5,27,-83.877846,9.26409
26/1/2021,M16,52,-83.877846,9.264962
2/12/2020,M14 ,56,-83.877847,9.265384
21/4/2021,M19,118,-83.877847,9.263596
11/8/2020,M4,18,-83.877848,9.264982
11/8/2020,M4,80,-83.877849,9.263624
2/12/2020,M14 ,125,-83.877849,9.263684
25/11/2020,M13,6,-83.87785,9.265491
15/3/2021,M17,25,-83.87785,9.265003
14/9/2020,M8,60,-83.877851,9.263641
