ID_group,N_leaves,Muestreo,HR,den_leavesHR,Gcrow_size
7,7,M13,0.19041767,36.76129426,6
7,16,M14,0.19041767,84.02581546,6
7,0,M15,0.19041767,0,6
7,20,M16,0.19041767,105.0322693,6
7,9,M17,0.19041767,47.2645212,6
7,10,M18,0.19041767,52.51613466,6
7,21,M19,0.19041767,110.2838828,6
7,13,M20,0.19041767,68.27097506,6
8,7,M1,0.09922996,70.54321094,4
8,8,M2,0.09922996,80.6208125,4
8,3,M3,0.09922996,30.23280469,4
8,3,M4,0.09922996,30.23280469,4
8,4,M5,0.09922996,40.31040625,4
8,6,M6,0.09922996,60.46560938,4
8,4,M7,0.09922996,40.31040625,4
8,6,M8,0.09922996,60.46560938,4
8,6,M9,0.09922996,60.46560938,4
8,5,M10,0.09922996,50.38800782,4
8,5,M11,0.09922996,50.38800782,4
8,4,M12,0.09922996,40.31040625,4
8,8,M13,0.09922996,80.6208125,4
8,4,M14,0.09922996,40.31040625,4
8,3,M15,0.09922996,30.23280469,4
8,7,M16,0.09922996,70.54321094,4
8,3,M17,0.09922996,30.23280469,4
8,2,M18,0.09922996,20.15520313,4
8,7,M19,0.09922996,70.54321094,4
8,8,M20,0.09922996,80.6208125,4
9,17,M1,0.37062533,45.86842459,5
9,7,M2,0.37062533,18.88699836,5
9,13,M3,0.37062533,35.0758541,5
9,11,M4,0.37062533,29.67956885,5
9,11,M5,0.37062533,29.67956885,5
9,4,M6,0.37062533,10.79257049,5
9,12,M7,0.37062533,32.37771147,5
9,5,M8,0.37062533,13.49071311,5
9,6,M9,0.37062533,16.18885574,5
9,7,M10,0.37062533,18.88699836,5
9,9,M11,0.37062533,24.28328361,5
9,0,M12,0.37062533,0,5
9,3,M13,0.37062533,8.094427869,5
9,9,M14,0.37062533,24.28328361,5
9,2,M15,0.37062533,5.396285246,5
9,6,M16,0.37062533,16.18885574,5
9,10,M17,0.37062533,26.98142623,5
9,7,M18,0.37062533,18.88699836,5
9,8,M19,0.37062533,21.58514098,5
9,14,M20,0.37062533,37.77399672,5
10,6,M1,0.08232791,72.87929452,6
10,15,M2,0.08232791,182.1982363,6
10,10,M3,0.08232791,121.4654909,6
10,6,M4,0.08232791,72.87929452,6
10,9,M5,0.08232791,109.3189418,6
10,8,M6,0.08232791,97.17239269,6
10,6,M7,0.08232791,72.87929452,6
10,9,M8,0.08232791,109.3189418,6
10,6,M9,0.08232791,72.87929452,6
10,10,M10,0.08232791,121.4654909,6
10,9,M11,0.08232791,109.3189418,6
10,11,M12,0.08232791,133.61204,6
10,9,M13,0.08232791,109.3189418,6
10,13,M14,0.08232791,157.9051381,6
10,19,M15,0.08232791,230.7844326,6
10,6,M16,0.08232791,72.87929452,6
10,4,M17,0.08232791,48.58619635,6
10,6,M18,0.08232791,72.87929452,6
10,7,M19,0.08232791,85.02584361,6
10,4,M20,0.08232791,48.58619635,6
11,4,M1,0.04151768,96.34449709,2
11,1,M2,0.04151768,24.08612427,2
11,1,M3,0.04151768,24.08612427,2
11,3,M4,0.04151768,72.25837282,2
11,2,M5,0.04151768,48.17224855,2
11,2,M6,0.04151768,48.17224855,2
11,1,M7,0.04151768,24.08612427,2
11,0,M8,0.04151768,0,2
11,0,M9,0.04151768,0,2
11,1,M10,0.04151768,24.08612427,2
11,0,M11,0.04151768,0,2
11,3,M12,0.04151768,72.25837282,2
11,7,M13,0.04151768,168.6028699,2
11,3,M14,0.04151768,72.25837282,2
11,0,M15,0.04151768,0,2
11,3,M16,0.04151768,72.25837282,2
11,0,M17,0.04151768,0,2
11,1,M18,0.04151768,24.08612427,2
11,5,M19,0.04151768,120.4306214,2
11,3,M20,0.04151768,72.25837282,2
